"Laikotarpis","Rodiklis","Apskritys","Ekonominės veiklos rūšis (EVRK 2 red., 10):Kodas","Ekonominės veiklos rūšis (EVRK 2 red., 10):Pavadinimas","Užimtųjų klasifikacija","Matavimo vienetai","Reikšmė"
"2022","Užimtumas (ESS 2010)","Vilniaus apskritis","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Samdomieji darbuotojai","tūkst. asmenų","451.7"
"2022","Užimtumas (ESS 2010)","Alytaus apskritis","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Samdomieji darbuotojai","tūkst. asmenų","55.3"
"2022","Užimtumas (ESS 2010)","Kauno apskritis","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Samdomieji darbuotojai","tūkst. asmenų","256.3"
"2022","Užimtumas (ESS 2010)","Klaipėdos apskritis","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Samdomieji darbuotojai","tūkst. asmenų","141.7"
"2022","Užimtumas (ESS 2010)","Marijampolės apskritis","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Samdomieji darbuotojai","tūkst. asmenų","54.5"
"2022","Užimtumas (ESS 2010)","Panevėžio apskritis","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Samdomieji darbuotojai","tūkst. asmenų","86.8"
"2022","Užimtumas (ESS 2010)","Šiaulių apskritis","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Samdomieji darbuotojai","tūkst. asmenų","106.4"
"2022","Užimtumas (ESS 2010)","Tauragės apskritis","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Samdomieji darbuotojai","tūkst. asmenų","30.8"
"2022","Užimtumas (ESS 2010)","Telšių apskritis","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Samdomieji darbuotojai","tūkst. asmenų","53.9"
"2022","Užimtumas (ESS 2010)","Utenos apskritis","TOTAL","Iš viso pagal ekonomines veiklos rūšis","Samdomieji darbuotojai","tūkst. asmenų","42.3"
