Laikotarpis,Rodiklis,Administracinė teritorija,Lytis,Matavimo vienetai,Reikšmė
2023,Gimusieji,Elektrėnų savivaldybė,Vyrai ir moterys,asmenys,140
2023,Gimusieji,Šalčininkų rajono savivaldybė,Vyrai ir moterys,asmenys,238
2023,Gimusieji,Širvintų rajono savivaldybė,Vyrai ir moterys,asmenys,77
2023,Gimusieji,Švenčionių rajono savivaldybė,Vyrai ir moterys,asmenys,105
2023,Gimusieji,Trakų rajono savivaldybė,Vyrai ir moterys,asmenys,285
2023,Gimusieji,Ukmergės rajono savivaldybė,Vyrai ir moterys,asmenys,198
2023,Gimusieji,Vilniaus miesto savivaldybė,Vyrai ir moterys,asmenys,5087
2023,Gimusieji,Vilniaus rajono savivaldybė,Vyrai ir moterys,asmenys,847
2023,Gimusieji,Alytaus miesto savivaldybė,Vyrai ir moterys,asmenys,281
2023,Gimusieji,Alytaus rajono savivaldybė,Vyrai ir moterys,asmenys,142
2023,Gimusieji,Druskininkų savivaldybė,Vyrai ir moterys,asmenys,102
2023,Gimusieji,Lazdijų rajono savivaldybė,Vyrai ir moterys,asmenys,85
2023,Gimusieji,Varėnos rajono savivaldybė,Vyrai ir moterys,asmenys,114
2023,Gimusieji,Birštono savivaldybė,Vyrai ir moterys,asmenys,25
2023,Gimusieji,Jonavos rajono savivaldybė,Vyrai ir moterys,asmenys,277
2023,Gimusieji,Kaišiadorių rajono savivaldybė,Vyrai ir moterys,asmenys,156
2023,Gimusieji,Kauno miesto savivaldybė,Vyrai ir moterys,asmenys,2320
2023,Gimusieji,Kauno rajono savivaldybė,Vyrai ir moterys,asmenys,1044
2023,Gimusieji,Kėdainių rajono savivaldybė,Vyrai ir moterys,asmenys,266
2023,Gimusieji,Prienų rajono savivaldybė,Vyrai ir moterys,asmenys,131
2023,Gimusieji,Raseinių rajono savivaldybė,Vyrai ir moterys,asmenys,162
2023,Gimusieji,Klaipėdos miesto savivaldybė,Vyrai ir moterys,asmenys,1135
2023,Gimusieji,Klaipėdos rajono savivaldybė,Vyrai ir moterys,asmenys,618
2023,Gimusieji,Kretingos rajono savivaldybė,Vyrai ir moterys,asmenys,280
2023,Gimusieji,Neringos savivaldybė,Vyrai ir moterys,asmenys,19
2023,Gimusieji,Palangos miesto savivaldybė,Vyrai ir moterys,asmenys,111
2023,Gimusieji,Skuodo rajono savivaldybė,Vyrai ir moterys,asmenys,87
2023,Gimusieji,Šilutės rajono savivaldybė,Vyrai ir moterys,asmenys,289
2023,Gimusieji,Kalvarijos savivaldybė,Vyrai ir moterys,asmenys,63
2023,Gimusieji,Kazlų Rūdos savivaldybė,Vyrai ir moterys,asmenys,71
2023,Gimusieji,Marijampolės savivaldybė,Vyrai ir moterys,asmenys,367
2023,Gimusieji,Marijampolės rajono savivaldybė,Vyrai ir moterys,asmenys,0
2023,Gimusieji,Šakių rajono savivaldybė,Vyrai ir moterys,asmenys,151
2023,Gimusieji,Vilkaviškio rajono savivaldybė,Vyrai ir moterys,asmenys,205
2023,Gimusieji,Biržų rajono savivaldybė,Vyrai ir moterys,asmenys,137
2023,Gimusieji,Kupiškio rajono savivaldybė,Vyrai ir moterys,asmenys,81
2023,Gimusieji,Panevėžio miesto savivaldybė,Vyrai ir moterys,asmenys,525
2023,Gimusieji,Panevėžio rajono savivaldybė,Vyrai ir moterys,asmenys,265
2023,Gimusieji,Pasvalio rajono savivaldybė,Vyrai ir moterys,asmenys,143
2023,Gimusieji,Rokiškio rajono savivaldybė,Vyrai ir moterys,asmenys,147
2023,Gimusieji,Akmenės rajono savivaldybė,Vyrai ir moterys,asmenys,119
2023,Gimusieji,Joniškio rajono savivaldybė,Vyrai ir moterys,asmenys,131
2023,Gimusieji,Kelmės rajono savivaldybė,Vyrai ir moterys,asmenys,128
2023,Gimusieji,Pakruojo rajono savivaldybė,Vyrai ir moterys,asmenys,111
2023,Gimusieji,Radviliškio rajono savivaldybė,Vyrai ir moterys,asmenys,230
2023,Gimusieji,Šiaulių miesto savivaldybė,Vyrai ir moterys,asmenys,744
2023,Gimusieji,Šiaulių rajono savivaldybė,Vyrai ir moterys,asmenys,273
2023,Gimusieji,Jurbarko rajono savivaldybė,Vyrai ir moterys,asmenys,132
2023,Gimusieji,Pagėgių savivaldybė,Vyrai ir moterys,asmenys,49
2023,Gimusieji,Šilalės rajono savivaldybė,Vyrai ir moterys,asmenys,140
2023,Gimusieji,Tauragės rajono savivaldybė,Vyrai ir moterys,asmenys,253
2023,Gimusieji,Mažeikių rajono savivaldybė,Vyrai ir moterys,asmenys,358
2023,Gimusieji,Plungės rajono savivaldybė,Vyrai ir moterys,asmenys,212
2023,Gimusieji,Rietavo savivaldybė,Vyrai ir moterys,asmenys,64
2023,Gimusieji,Telšių rajono savivaldybė,Vyrai ir moterys,asmenys,266
2023,Gimusieji,Anykščių rajono savivaldybė,Vyrai ir moterys,asmenys,130
2023,Gimusieji,Ignalinos rajono savivaldybė,Vyrai ir moterys,asmenys,58
2023,Gimusieji,Molėtų rajono savivaldybė,Vyrai ir moterys,asmenys,72
2023,Gimusieji,Utenos rajono savivaldybė,Vyrai ir moterys,asmenys,212
2023,Gimusieji,Visagino savivaldybė,Vyrai ir moterys,asmenys,96
2023,Gimusieji,Zarasų rajono savivaldybė,Vyrai ir moterys,asmenys,69
