Laikotarpis,Rodiklis,Administracinė teritorija,Transporto rūšis (Autobusai),Matavimo vienetai,Reikšmė
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Elektrėnų savivaldybė,Autobusai,vnt.,11
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Šalčininkų rajono savivaldybė,Autobusai,vnt.,27
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Širvintų rajono savivaldybė,Autobusai,vnt.,10
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Švenčionių rajono savivaldybė,Autobusai,vnt.,5
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Trakų rajono savivaldybė,Autobusai,vnt.,8
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Ukmergės rajono savivaldybė,Autobusai,vnt.,32
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Vilniaus miesto savivaldybė,Autobusai,vnt.,244
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Vilniaus rajono savivaldybė,Autobusai,vnt.,12
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Alytaus miesto savivaldybė,Autobusai,vnt.,2
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Alytaus rajono savivaldybė,Autobusai,vnt.,0
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Druskininkų savivaldybė,Autobusai,vnt.,7
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Lazdijų rajono savivaldybė,Autobusai,vnt.,5
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Varėnos rajono savivaldybė,Autobusai,vnt.,6
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Birštono savivaldybė,Autobusai,vnt.,0
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Jonavos rajono savivaldybė,Autobusai,vnt.,34
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Kaišiadorių rajono savivaldybė,Autobusai,vnt.,8
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Kauno miesto savivaldybė,Autobusai,vnt.,119
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Kauno rajono savivaldybė,Autobusai,vnt.,1
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Kėdainių rajono savivaldybė,Autobusai,vnt.,36
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Prienų rajono savivaldybė,Autobusai,vnt.,0
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Raseinių rajono savivaldybė,Autobusai,vnt.,18
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Klaipėdos miesto savivaldybė,Autobusai,vnt.,213
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Klaipėdos rajono savivaldybė,Autobusai,vnt.,9
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Kretingos rajono savivaldybė,Autobusai,vnt.,30
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Neringos savivaldybė,Autobusai,vnt.,31
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Palangos miesto savivaldybė,Autobusai,vnt.,22
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Skuodo rajono savivaldybė,Autobusai,vnt.,20
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Šilutės rajono savivaldybė,Autobusai,vnt.,21
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Kalvarijos savivaldybė,Autobusai,vnt.,9
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Kazlų Rūdos savivaldybė,Autobusai,vnt.,0
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Marijampolės savivaldybė,Autobusai,vnt.,22
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Šakių rajono savivaldybė,Autobusai,vnt.,14
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Vilkaviškio rajono savivaldybė,Autobusai,vnt.,8
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Biržų rajono savivaldybė,Autobusai,vnt.,10
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Kupiškio rajono savivaldybė,Autobusai,vnt.,14
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Panevėžio miesto savivaldybė,Autobusai,vnt.,92
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Panevėžio rajono savivaldybė,Autobusai,vnt.,0
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Pasvalio rajono savivaldybė,Autobusai,vnt.,3
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Rokiškio rajono savivaldybė,Autobusai,vnt.,26
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Akmenės rajono savivaldybė,Autobusai,vnt.,15
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Joniškio rajono savivaldybė,Autobusai,vnt.,10
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Kelmės rajono savivaldybė,Autobusai,vnt.,14
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Pakruojo rajono savivaldybė,Autobusai,vnt.,4
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Radviliškio rajono savivaldybė,Autobusai,vnt.,3
2023,Vidutiniškai vienam gyventojui tenka kelionių autobusais,Šiaulių miesto savivaldybė,Autobusai,vnt.,97
