"Laikotarpis","Rodiklis","Apskritys","Matavimo vienetai","Reikšmė"
"2023","BVP, to meto kainomis","Vilniaus apskritis","mln. EUR","33558.9"
"2023","BVP, to meto kainomis","Alytaus apskritis","mln. EUR","1928.5"
"2023","BVP, to meto kainomis","Kauno apskritis","mln. EUR","14678.9"
"2023","BVP, to meto kainomis","Klaipėdos apskritis","mln. EUR","7589.4"
"2023","BVP, to meto kainomis","Marijampolės apskritis","mln. EUR","2006.8"
"2023","BVP, to meto kainomis","Panevėžio apskritis","mln. EUR","3816.3"
"2023","BVP, to meto kainomis","Šiaulių apskritis","mln. EUR","4772.2"
"2023","BVP, to meto kainomis","Tauragės apskritis","mln. EUR","1337.0"
"2023","BVP, to meto kainomis","Telšių apskritis","mln. EUR","2317.6"
"2023","BVP, to meto kainomis","Utenos apskritis","mln. EUR","1787.1"
