Laikotarpis,Rodiklis,Administracinė teritorija,Matavimo vienetai,Reikšmė
2023,"BVP vienam gyventojui, to meto kainomis",Vilniaus apskritis,tūkst. EUR,39.1
2023,"BVP vienam gyventojui, to meto kainomis",Alytaus apskritis,tūkst. EUR,14.3
2023,"BVP vienam gyventojui, to meto kainomis",Kauno apskritis,tūkst. EUR,25.2
2023,"BVP vienam gyventojui, to meto kainomis",Klaipėdos apskritis,tūkst. EUR,22.5
2023,"BVP vienam gyventojui, to meto kainomis",Marijampolės apskritis,tūkst. EUR,14.8
2023,"BVP vienam gyventojui, to meto kainomis",Panevėžio apskritis,tūkst. EUR,18.2
2023,"BVP vienam gyventojui, to meto kainomis",Šiaulių apskritis,tūkst. EUR,18
2023,"BVP vienam gyventojui, to meto kainomis",Tauragės apskritis,tūkst. EUR,14.8
2023,"BVP vienam gyventojui, to meto kainomis",Telšių apskritis,tūkst. EUR,17.7
2023,"BVP vienam gyventojui, to meto kainomis",Utenos apskritis,tūkst. EUR,14.2
