Laikotarpis,Rodiklis,Administracinė teritorija,Matavimo vienetai,Reikšmė
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Elektrėnų savivaldybė,skaičius,27
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Šalčininkų rajono savivaldybė,skaičius,61
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Širvintų rajono savivaldybė,skaičius,28
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Švenčionių rajono savivaldybė,skaičius,23
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Trakų rajono savivaldybė,skaičius,86
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Ukmergės rajono savivaldybė,skaičius,73
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Vilniaus miesto savivaldybė,skaičius,758
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Vilniaus rajono savivaldybė,skaičius,241
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Alytaus miesto savivaldybė,skaičius,78
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Alytaus rajono savivaldybė,skaičius,32
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Druskininkų savivaldybė,skaičius,10
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Lazdijų rajono savivaldybė,skaičius,29
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Varėnos rajono savivaldybė,skaičius,36
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Birštono savivaldybė,skaičius,5
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Jonavos rajono savivaldybė,skaičius,67
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Kaišiadorių rajono savivaldybė,skaičius,39
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Kauno miesto savivaldybė,skaičius,372
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Kauno rajono savivaldybė,skaičius,106
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Kėdainių rajono savivaldybė,skaičius,110
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Prienų rajono savivaldybė,skaičius,45
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Raseinių rajono savivaldybė,skaičius,84
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Klaipėdos miesto savivaldybė,skaičius,160
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Klaipėdos rajono savivaldybė,skaičius,79
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Kretingos rajono savivaldybė,skaičius,67
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Neringos savivaldybė,skaičius,2
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Palangos miesto savivaldybė,skaičius,23
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Skuodo rajono savivaldybė,skaičius,37
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Šilutės rajono savivaldybė,skaičius,134
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Kalvarijos savivaldybė,skaičius,27
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Kazlų Rūdos savivaldybė,skaičius,11
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Marijampolės savivaldybė,skaičius,45
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Šakių rajono savivaldybė,skaičius,53
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Vilkaviškio rajono savivaldybė,skaičius,52
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Biržų rajono savivaldybė,skaičius,87
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Kupiškio rajono savivaldybė,skaičius,37
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Panevėžio miesto savivaldybė,skaičius,176
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Panevėžio rajono savivaldybė,skaičius,65
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Pasvalio rajono savivaldybė,skaičius,40
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Rokiškio rajono savivaldybė,skaičius,34
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Akmenės rajono savivaldybė,skaičius,56
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Joniškio rajono savivaldybė,skaičius,75
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Kelmės rajono savivaldybė,skaičius,43
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Pakruojo rajono savivaldybė,skaičius,52
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Radviliškio rajono savivaldybė,skaičius,120
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Šiaulių miesto savivaldybė,skaičius,225
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Šiaulių rajono savivaldybė,skaičius,93
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Jurbarko rajono savivaldybė,skaičius,49
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Pagėgių savivaldybė,skaičius,20
2024,Dėl smurto artimoje aplinkoje užregistruoti nusikaltimai,Šilalės rajono savivaldybė,skaičius,30
