Laikotarpis,Rodiklis,Administracinė teritorija,Matavimo vienetai,Reikšmė
2023,Mirusieji,Elektrėnų savivaldybė,asmenys,318
2023,Mirusieji,Šalčininkų rajono savivaldybė,asmenys,414
2023,Mirusieji,Širvintų rajono savivaldybė,asmenys,237
2023,Mirusieji,Švenčionių rajono savivaldybė,asmenys,431
2023,Mirusieji,Trakų rajono savivaldybė,asmenys,413
2023,Mirusieji,Ukmergės rajono savivaldybė,asmenys,536
2023,Mirusieji,Vilniaus miesto savivaldybė,asmenys,5541
2023,Mirusieji,Vilniaus rajono savivaldybė,asmenys,1101
2023,Mirusieji,Alytaus miesto savivaldybė,asmenys,648
2023,Mirusieji,Alytaus rajono savivaldybė,asmenys,378
2023,Mirusieji,Druskininkų savivaldybė,asmenys,293
2023,Mirusieji,Lazdijų rajono savivaldybė,asmenys,375
2023,Mirusieji,Varėnos rajono savivaldybė,asmenys,424
2023,Mirusieji,Birštono savivaldybė,asmenys,51
2023,Mirusieji,Jonavos rajono savivaldybė,asmenys,594
2023,Mirusieji,Kaišiadorių rajono savivaldybė,asmenys,457
2023,Mirusieji,Kauno miesto savivaldybė,asmenys,3670
2023,Mirusieji,Kauno rajono savivaldybė,asmenys,968
2023,Mirusieji,Kėdainių rajono savivaldybė,asmenys,656
2023,Mirusieji,Prienų rajono savivaldybė,asmenys,472
2023,Mirusieji,Raseinių rajono savivaldybė,asmenys,502
2023,Mirusieji,Klaipėdos miesto savivaldybė,asmenys,1945
2023,Mirusieji,Klaipėdos rajono savivaldybė,asmenys,568
2023,Mirusieji,Kretingos rajono savivaldybė,asmenys,471
2023,Mirusieji,Neringos savivaldybė,asmenys,39
2023,Mirusieji,Palangos miesto savivaldybė,asmenys,237
2023,Mirusieji,Skuodo rajono savivaldybė,asmenys,275
2023,Mirusieji,Šilutės rajono savivaldybė,asmenys,512
2023,Mirusieji,Kalvarijos savivaldybė,asmenys,161
2023,Mirusieji,Kazlų Rūdos savivaldybė,asmenys,174
2023,Mirusieji,Marijampolės savivaldybė,asmenys,747
2023,Mirusieji,Marijampolės rajono savivaldybė,asmenys,0
2023,Mirusieji,Šakių rajono savivaldybė,asmenys,405
2023,Mirusieji,Vilkaviškio rajono savivaldybė,asmenys,565
2023,Mirusieji,Biržų rajono savivaldybė,asmenys,407
2023,Mirusieji,Kupiškio rajono savivaldybė,asmenys,294
2023,Mirusieji,Panevėžio miesto savivaldybė,asmenys,1206
2023,Mirusieji,Panevėžio rajono savivaldybė,asmenys,542
2023,Mirusieji,Pasvalio rajono savivaldybė,asmenys,381
2023,Mirusieji,Rokiškio rajono savivaldybė,asmenys,501
2023,Mirusieji,Akmenės rajono savivaldybė,asmenys,319
2023,Mirusieji,Joniškio rajono savivaldybė,asmenys,325
2023,Mirusieji,Kelmės rajono savivaldybė,asmenys,416
2023,Mirusieji,Pakruojo rajono savivaldybė,asmenys,329
2023,Mirusieji,Radviliškio rajono savivaldybė,asmenys,550
2023,Mirusieji,Šiaulių miesto savivaldybė,asmenys,1231
2023,Mirusieji,Šiaulių rajono savivaldybė,asmenys,586
2023,Mirusieji,Jurbarko rajono savivaldybė,asmenys,428
2023,Mirusieji,Pagėgių savivaldybė,asmenys,121
2023,Mirusieji,Šilalės rajono savivaldybė,asmenys,330
2023,Mirusieji,Tauragės rajono savivaldybė,asmenys,526
2023,Mirusieji,Mažeikių rajono savivaldybė,asmenys,571
2023,Mirusieji,Plungės rajono savivaldybė,asmenys,442
2023,Mirusieji,Rietavo savivaldybė,asmenys,121
2023,Mirusieji,Telšių rajono savivaldybė,asmenys,593
2023,Mirusieji,Anykščių rajono savivaldybė,asmenys,434
2023,Mirusieji,Ignalinos rajono savivaldybė,asmenys,297
2023,Mirusieji,Molėtų rajono savivaldybė,asmenys,311
2023,Mirusieji,Utenos rajono savivaldybė,asmenys,618
2023,Mirusieji,Visagino savivaldybė,asmenys,277
2023,Mirusieji,Zarasų rajono savivaldybė,asmenys,271
