Laikotarpis,Rodiklis,Administracinė teritorija,Lytis,Matavimo vienetai,Reikšmė
2024,Demografinės senatvės koeficientas metų pradžioje,Elektrėnų savivaldybė,Vyrai ir moterys,asmenys,135
2024,Demografinės senatvės koeficientas metų pradžioje,Šalčininkų rajono savivaldybė,Vyrai ir moterys,asmenys,117
2024,Demografinės senatvės koeficientas metų pradžioje,Širvintų rajono savivaldybė,Vyrai ir moterys,asmenys,167
2024,Demografinės senatvės koeficientas metų pradžioje,Švenčionių rajono savivaldybė,Vyrai ir moterys,asmenys,213
2024,Demografinės senatvės koeficientas metų pradžioje,Trakų rajono savivaldybė,Vyrai ir moterys,asmenys,119
2024,Demografinės senatvės koeficientas metų pradžioje,Ukmergės rajono savivaldybė,Vyrai ir moterys,asmenys,188
2024,Demografinės senatvės koeficientas metų pradžioje,Vilniaus miesto savivaldybė,Vyrai ir moterys,asmenys,101
2024,Demografinės senatvės koeficientas metų pradžioje,Vilniaus rajono savivaldybė,Vyrai ir moterys,asmenys,92
2024,Demografinės senatvės koeficientas metų pradžioje,Alytaus miesto savivaldybė,Vyrai ir moterys,asmenys,206
2024,Demografinės senatvės koeficientas metų pradžioje,Alytaus rajono savivaldybė,Vyrai ir moterys,asmenys,171
2024,Demografinės senatvės koeficientas metų pradžioje,Druskininkų savivaldybė,Vyrai ir moterys,asmenys,193
2024,Demografinės senatvės koeficientas metų pradžioje,Lazdijų rajono savivaldybė,Vyrai ir moterys,asmenys,209
2024,Demografinės senatvės koeficientas metų pradžioje,Varėnos rajono savivaldybė,Vyrai ir moterys,asmenys,231
2024,Demografinės senatvės koeficientas metų pradžioje,Birštono savivaldybė,Vyrai ir moterys,asmenys,236
2024,Demografinės senatvės koeficientas metų pradžioje,Jonavos rajono savivaldybė,Vyrai ir moterys,asmenys,151
2024,Demografinės senatvės koeficientas metų pradžioje,Kaišiadorių rajono savivaldybė,Vyrai ir moterys,asmenys,170
2024,Demografinės senatvės koeficientas metų pradžioje,Kauno miesto savivaldybė,Vyrai ir moterys,asmenys,144
2024,Demografinės senatvės koeficientas metų pradžioje,Kauno rajono savivaldybė,Vyrai ir moterys,asmenys,88
2024,Demografinės senatvės koeficientas metų pradžioje,Kėdainių rajono savivaldybė,Vyrai ir moterys,asmenys,172
2024,Demografinės senatvės koeficientas metų pradžioje,Prienų rajono savivaldybė,Vyrai ir moterys,asmenys,183
2024,Demografinės senatvės koeficientas metų pradžioje,Raseinių rajono savivaldybė,Vyrai ir moterys,asmenys,193
2024,Demografinės senatvės koeficientas metų pradžioje,Klaipėdos miesto savivaldybė,Vyrai ir moterys,asmenys,130
2024,Demografinės senatvės koeficientas metų pradžioje,Klaipėdos rajono savivaldybė,Vyrai ir moterys,asmenys,79
2024,Demografinės senatvės koeficientas metų pradžioje,Kretingos rajono savivaldybė,Vyrai ir moterys,asmenys,136
2024,Demografinės senatvės koeficientas metų pradžioje,Neringos savivaldybė,Vyrai ir moterys,asmenys,195
2024,Demografinės senatvės koeficientas metų pradžioje,Palangos miesto savivaldybė,Vyrai ir moterys,asmenys,200
2024,Demografinės senatvės koeficientas metų pradžioje,Skuodo rajono savivaldybė,Vyrai ir moterys,asmenys,215
2024,Demografinės senatvės koeficientas metų pradžioje,Šilutės rajono savivaldybė,Vyrai ir moterys,asmenys,150
2024,Demografinės senatvės koeficientas metų pradžioje,Kalvarijos savivaldybė,Vyrai ir moterys,asmenys,134
2024,Demografinės senatvės koeficientas metų pradžioje,Kazlų Rūdos savivaldybė,Vyrai ir moterys,asmenys,155
2024,Demografinės senatvės koeficientas metų pradžioje,Marijampolės savivaldybė,Vyrai ir moterys,asmenys,149
2024,Demografinės senatvės koeficientas metų pradžioje,Marijampolės rajono savivaldybė,Vyrai ir moterys,asmenys,0
2024,Demografinės senatvės koeficientas metų pradžioje,Šakių rajono savivaldybė,Vyrai ir moterys,asmenys,183
2024,Demografinės senatvės koeficientas metų pradžioje,Vilkaviškio rajono savivaldybė,Vyrai ir moterys,asmenys,174
2024,Demografinės senatvės koeficientas metų pradžioje,Biržų rajono savivaldybė,Vyrai ir moterys,asmenys,224
2024,Demografinės senatvės koeficientas metų pradžioje,Kupiškio rajono savivaldybė,Vyrai ir moterys,asmenys,223
2024,Demografinės senatvės koeficientas metų pradžioje,Panevėžio miesto savivaldybė,Vyrai ir moterys,asmenys,199
2024,Demografinės senatvės koeficientas metų pradžioje,Panevėžio rajono savivaldybė,Vyrai ir moterys,asmenys,141
2024,Demografinės senatvės koeficientas metų pradžioje,Pasvalio rajono savivaldybė,Vyrai ir moterys,asmenys,179
2024,Demografinės senatvės koeficientas metų pradžioje,Rokiškio rajono savivaldybė,Vyrai ir moterys,asmenys,230
2024,Demografinės senatvės koeficientas metų pradžioje,Akmenės rajono savivaldybė,Vyrai ir moterys,asmenys,194
2024,Demografinės senatvės koeficientas metų pradžioje,Joniškio rajono savivaldybė,Vyrai ir moterys,asmenys,203
2024,Demografinės senatvės koeficientas metų pradžioje,Kelmės rajono savivaldybė,Vyrai ir moterys,asmenys,213
2024,Demografinės senatvės koeficientas metų pradžioje,Pakruojo rajono savivaldybė,Vyrai ir moterys,asmenys,194
2024,Demografinės senatvės koeficientas metų pradžioje,Radviliškio rajono savivaldybė,Vyrai ir moterys,asmenys,175
2024,Demografinės senatvės koeficientas metų pradžioje,Šiaulių miesto savivaldybė,Vyrai ir moterys,asmenys,144
2024,Demografinės senatvės koeficientas metų pradžioje,Šiaulių rajono savivaldybė,Vyrai ir moterys,asmenys,147
2024,Demografinės senatvės koeficientas metų pradžioje,Jurbarko rajono savivaldybė,Vyrai ir moterys,asmenys,201
2024,Demografinės senatvės koeficientas metų pradžioje,Pagėgių savivaldybė,Vyrai ir moterys,asmenys,159
2024,Demografinės senatvės koeficientas metų pradžioje,Šilalės rajono savivaldybė,Vyrai ir moterys,asmenys,152
2024,Demografinės senatvės koeficientas metų pradžioje,Tauragės rajono savivaldybė,Vyrai ir moterys,asmenys,157
2024,Demografinės senatvės koeficientas metų pradžioje,Mažeikių rajono savivaldybė,Vyrai ir moterys,asmenys,138
2024,Demografinės senatvės koeficientas metų pradžioje,Plungės rajono savivaldybė,Vyrai ir moterys,asmenys,149
2024,Demografinės senatvės koeficientas metų pradžioje,Rietavo savivaldybė,Vyrai ir moterys,asmenys,152
2024,Demografinės senatvės koeficientas metų pradžioje,Telšių rajono savivaldybė,Vyrai ir moterys,asmenys,169
2024,Demografinės senatvės koeficientas metų pradžioje,Anykščių rajono savivaldybė,Vyrai ir moterys,asmenys,243
2024,Demografinės senatvės koeficientas metų pradžioje,Ignalinos rajono savivaldybė,Vyrai ir moterys,asmenys,283
2024,Demografinės senatvės koeficientas metų pradžioje,Molėtų rajono savivaldybė,Vyrai ir moterys,asmenys,225
2024,Demografinės senatvės koeficientas metų pradžioje,Utenos rajono savivaldybė,Vyrai ir moterys,asmenys,209
2024,Demografinės senatvės koeficientas metų pradžioje,Visagino savivaldybė,Vyrai ir moterys,asmenys,217
2024,Demografinės senatvės koeficientas metų pradžioje,Zarasų rajono savivaldybė,Vyrai ir moterys,asmenys,231
