Laikotarpis,Rodiklis,Administracinė teritorija,Matavimo vienetai,Reikšmė
2023,Užregistruotų gaisrų skaičius,Elektrėnų savivaldybė,vnt.,96
2023,Užregistruotų gaisrų skaičius,Šalčininkų rajono savivaldybė,vnt.,116
2023,Užregistruotų gaisrų skaičius,Širvintų rajono savivaldybė,vnt.,83
2023,Užregistruotų gaisrų skaičius,Švenčionių rajono savivaldybė,vnt.,86
2023,Užregistruotų gaisrų skaičius,Trakų rajono savivaldybė,vnt.,151
2023,Užregistruotų gaisrų skaičius,Ukmergės rajono savivaldybė,vnt.,124
2023,Užregistruotų gaisrų skaičius,Vilniaus miesto savivaldybė,vnt.,1074
2023,Užregistruotų gaisrų skaičius,Vilniaus rajono savivaldybė,vnt.,422
2023,Užregistruotų gaisrų skaičius,Alytaus miesto savivaldybė,vnt.,226
2023,Užregistruotų gaisrų skaičius,Alytaus rajono savivaldybė,vnt.,0
2023,Užregistruotų gaisrų skaičius,Druskininkų savivaldybė,vnt.,46
2023,Užregistruotų gaisrų skaičius,Lazdijų rajono savivaldybė,vnt.,97
2023,Užregistruotų gaisrų skaičius,Varėnos rajono savivaldybė,vnt.,122
2023,Užregistruotų gaisrų skaičius,Birštono savivaldybė,vnt.,10
2023,Užregistruotų gaisrų skaičius,Jonavos rajono savivaldybė,vnt.,136
2023,Užregistruotų gaisrų skaičius,Kaišiadorių rajono savivaldybė,vnt.,123
2023,Užregistruotų gaisrų skaičius,Kauno miesto savivaldybė,vnt.,501
2023,Užregistruotų gaisrų skaičius,Kauno rajono savivaldybė,vnt.,288
2023,Užregistruotų gaisrų skaičius,Kėdainių rajono savivaldybė,vnt.,166
2023,Užregistruotų gaisrų skaičius,Prienų rajono savivaldybė,vnt.,124
2023,Užregistruotų gaisrų skaičius,Raseinių rajono savivaldybė,vnt.,123
2023,Užregistruotų gaisrų skaičius,Klaipėdos miesto savivaldybė,vnt.,247
2023,Užregistruotų gaisrų skaičius,Klaipėdos rajono savivaldybė,vnt.,163
2023,Užregistruotų gaisrų skaičius,Kretingos rajono savivaldybė,vnt.,103
2023,Užregistruotų gaisrų skaičius,Neringos savivaldybė,vnt.,8
2023,Užregistruotų gaisrų skaičius,Palangos miesto savivaldybė,vnt.,49
2023,Užregistruotų gaisrų skaičius,Skuodo rajono savivaldybė,vnt.,47
2023,Užregistruotų gaisrų skaičius,Šilutės rajono savivaldybė,vnt.,129
2023,Užregistruotų gaisrų skaičius,Kalvarijos savivaldybė,vnt.,67
2023,Užregistruotų gaisrų skaičius,Kazlų Rūdos savivaldybė,vnt.,45
2023,Užregistruotų gaisrų skaičius,Marijampolės savivaldybė,vnt.,150
2023,Užregistruotų gaisrų skaičius,Šakių rajono savivaldybė,vnt.,87
2023,Užregistruotų gaisrų skaičius,Vilkaviškio rajono savivaldybė,vnt.,118
2023,Užregistruotų gaisrų skaičius,Biržų rajono savivaldybė,vnt.,98
2023,Užregistruotų gaisrų skaičius,Kupiškio rajono savivaldybė,vnt.,46
2023,Užregistruotų gaisrų skaičius,Panevėžio miesto savivaldybė,vnt.,205
2023,Užregistruotų gaisrų skaičius,Panevėžio rajono savivaldybė,vnt.,177
2023,Užregistruotų gaisrų skaičius,Pasvalio rajono savivaldybė,vnt.,101
2023,Užregistruotų gaisrų skaičius,Rokiškio rajono savivaldybė,vnt.,107
2023,Užregistruotų gaisrų skaičius,Akmenės rajono savivaldybė,vnt.,49
2023,Užregistruotų gaisrų skaičius,Joniškio rajono savivaldybė,vnt.,51
2023,Užregistruotų gaisrų skaičius,Kelmės rajono savivaldybė,vnt.,95
2023,Užregistruotų gaisrų skaičius,Pakruojo rajono savivaldybė,vnt.,77
2023,Užregistruotų gaisrų skaičius,Radviliškio rajono savivaldybė,vnt.,122
2023,Užregistruotų gaisrų skaičius,Šiaulių miesto savivaldybė,vnt.,152
2023,Užregistruotų gaisrų skaičius,Šiaulių rajono savivaldybė,vnt.,123
2023,Užregistruotų gaisrų skaičius,Jurbarko rajono savivaldybė,vnt.,61
2023,Užregistruotų gaisrų skaičius,Pagėgių savivaldybė,vnt.,43
2023,Užregistruotų gaisrų skaičius,Šilalės rajono savivaldybė,vnt.,64
2023,Užregistruotų gaisrų skaičius,Tauragės rajono savivaldybė,vnt.,126
2023,Užregistruotų gaisrų skaičius,Mažeikių rajono savivaldybė,vnt.,137
2023,Užregistruotų gaisrų skaičius,Plungės rajono savivaldybė,vnt.,110
2023,Užregistruotų gaisrų skaičius,Rietavo savivaldybė,vnt.,22
2023,Užregistruotų gaisrų skaičius,Telšių rajono savivaldybė,vnt.,135
2023,Užregistruotų gaisrų skaičius,Anykščių rajono savivaldybė,vnt.,103
2023,Užregistruotų gaisrų skaičius,Ignalinos rajono savivaldybė,vnt.,58
2023,Užregistruotų gaisrų skaičius,Molėtų rajono savivaldybė,vnt.,99
2023,Užregistruotų gaisrų skaičius,Utenos rajono savivaldybė,vnt.,109
2023,Užregistruotų gaisrų skaičius,Visagino savivaldybė,vnt.,45
2023,Užregistruotų gaisrų skaičius,Zarasų rajono savivaldybė,vnt.,59
