Laikotarpis,Rodiklis,Administracinė teritorija,Matavimo vienetai,Reikšmė
2024,Miškingumas,Elektrėnų savivaldybė,proc.,34
2024,Miškingumas,Šalčininkų rajono savivaldybė,proc.,48
2024,Miškingumas,Širvintų rajono savivaldybė,proc.,33.9
2024,Miškingumas,Švenčionių rajono savivaldybė,proc.,60.3
2024,Miškingumas,Trakų rajono savivaldybė,proc.,50
2024,Miškingumas,Ukmergės rajono savivaldybė,proc.,33.4
2024,Miškingumas,Vilniaus miesto savivaldybė,proc.,34.2
2024,Miškingumas,Vilniaus rajono savivaldybė,proc.,40.6
2024,Miškingumas,Alytaus miesto savivaldybė,proc.,32.3
2024,Miškingumas,Alytaus rajono savivaldybė,proc.,25.3
2024,Miškingumas,Druskininkų savivaldybė,proc.,69.7
2024,Miškingumas,Lazdijų rajono savivaldybė,proc.,36.9
2024,Miškingumas,Varėnos rajono savivaldybė,proc.,69.5
2024,Miškingumas,Birštono savivaldybė,proc.,47.2
2024,Miškingumas,Jonavos rajono savivaldybė,proc.,41.6
2024,Miškingumas,Kaišiadorių rajono savivaldybė,proc.,33.7
2024,Miškingumas,Kauno miesto savivaldybė,proc.,15.4
2024,Miškingumas,Kauno rajono savivaldybė,proc.,32.6
2024,Miškingumas,Kėdainių rajono savivaldybė,proc.,25.8
2024,Miškingumas,Prienų rajono savivaldybė,proc.,27.8
2024,Miškingumas,Raseinių rajono savivaldybė,proc.,24.2
2024,Miškingumas,Klaipėdos miesto savivaldybė,proc.,19.8
2024,Miškingumas,Klaipėdos rajono savivaldybė,proc.,26.6
2024,Miškingumas,Kretingos rajono savivaldybė,proc.,35.1
2024,Miškingumas,Neringos savivaldybė,proc.,53
2024,Miškingumas,Palangos miesto savivaldybė,proc.,39.4
2024,Miškingumas,Skuodo rajono savivaldybė,proc.,20.2
2024,Miškingumas,Šilutės rajono savivaldybė,proc.,22.9
2024,Miškingumas,Kalvarijos savivaldybė,proc.,14.4
2024,Miškingumas,Kazlų Rūdos savivaldybė,proc.,60
2024,Miškingumas,Marijampolės savivaldybė,proc.,15.4
2024,Miškingumas,Marijampolės rajono savivaldybė,proc.,0
2024,Miškingumas,Šakių rajono savivaldybė,proc.,23.1
2024,Miškingumas,Vilkaviškio rajono savivaldybė,proc.,11
2024,Miškingumas,Biržų rajono savivaldybė,proc.,27.9
2024,Miškingumas,Kupiškio rajono savivaldybė,proc.,30.1
2024,Miškingumas,Panevėžio miesto savivaldybė,proc.,1.5
2024,Miškingumas,Panevėžio rajono savivaldybė,proc.,35.4
2024,Miškingumas,Pasvalio rajono savivaldybė,proc.,17.2
2024,Miškingumas,Rokiškio rajono savivaldybė,proc.,30.2
2024,Miškingumas,Akmenės rajono savivaldybė,proc.,32.7
2024,Miškingumas,Joniškio rajono savivaldybė,proc.,20
2024,Miškingumas,Kelmės rajono savivaldybė,proc.,32.8
2024,Miškingumas,Pakruojo rajono savivaldybė,proc.,20.1
2024,Miškingumas,Radviliškio rajono savivaldybė,proc.,26.5
2024,Miškingumas,Šiaulių miesto savivaldybė,proc.,6
2024,Miškingumas,Šiaulių rajono savivaldybė,proc.,35.4
2024,Miškingumas,Jurbarko rajono savivaldybė,proc.,38.3
2024,Miškingumas,Pagėgių savivaldybė,proc.,17.6
2024,Miškingumas,Šilalės rajono savivaldybė,proc.,28.9
2024,Miškingumas,Tauragės rajono savivaldybė,proc.,38.6
2024,Miškingumas,Mažeikių rajono savivaldybė,proc.,29.8
2024,Miškingumas,Plungės rajono savivaldybė,proc.,36.5
2024,Miškingumas,Rietavo savivaldybė,proc.,54.5
2024,Miškingumas,Telšių rajono savivaldybė,proc.,35.7
2024,Miškingumas,Anykščių rajono savivaldybė,proc.,34.2
2024,Miškingumas,Ignalinos rajono savivaldybė,proc.,37.1
2024,Miškingumas,Molėtų rajono savivaldybė,proc.,32
2024,Miškingumas,Utenos rajono savivaldybė,proc.,34.3
2024,Miškingumas,Visagino savivaldybė,proc.,55.7
2024,Miškingumas,Zarasų rajono savivaldybė,proc.,38.4
