"Laikotarpis","Rodiklis","Apskritys","Kaip namų ūkis verčiasi","Matavimo vienetai","Reikšmė"
"2024","Namų ūkių pasiskirstymas pagal tai, kaip namų ūkis verčiasi","Vilniaus apskritis","Sunkiai","proc.","7.6"
"2024","Namų ūkių pasiskirstymas pagal tai, kaip namų ūkis verčiasi","Alytaus apskritis","Sunkiai","proc.","12.8"
"2024","Namų ūkių pasiskirstymas pagal tai, kaip namų ūkis verčiasi","Kauno apskritis","Sunkiai","proc.","12.2"
"2024","Namų ūkių pasiskirstymas pagal tai, kaip namų ūkis verčiasi","Klaipėdos apskritis","Sunkiai","proc.","11.7"
"2024","Namų ūkių pasiskirstymas pagal tai, kaip namų ūkis verčiasi","Marijampolės apskritis","Sunkiai","proc.","17.0"
"2024","Namų ūkių pasiskirstymas pagal tai, kaip namų ūkis verčiasi","Panevėžio apskritis","Sunkiai","proc.","13.2"
"2024","Namų ūkių pasiskirstymas pagal tai, kaip namų ūkis verčiasi","Šiaulių apskritis","Sunkiai","proc.","11.6"
"2024","Namų ūkių pasiskirstymas pagal tai, kaip namų ūkis verčiasi","Tauragės apskritis","Sunkiai","proc.","14.0"
"2024","Namų ūkių pasiskirstymas pagal tai, kaip namų ūkis verčiasi","Telšių apskritis","Sunkiai","proc.","18.9"
"2024","Namų ūkių pasiskirstymas pagal tai, kaip namų ūkis verčiasi","Utenos apskritis","Sunkiai","proc.","11.5"
