Laikotarpis,Rodiklis,Administracinė teritorija,Matavimo vienetai,Reikšmė
2024,Bendrosios pajamos per mėnesį,Vilniaus apskritis,"vienam namų ūkiui, EUR",3015
2024,Bendrosios pajamos per mėnesį,Alytaus apskritis,"vienam namų ūkiui, EUR",1756
2024,Bendrosios pajamos per mėnesį,Kauno apskritis,"vienam namų ūkiui, EUR",2288
2024,Bendrosios pajamos per mėnesį,Klaipėdos apskritis,"vienam namų ūkiui, EUR",2506
2024,Bendrosios pajamos per mėnesį,Marijampolės apskritis,"vienam namų ūkiui, EUR",1841
2024,Bendrosios pajamos per mėnesį,Panevėžio apskritis,"vienam namų ūkiui, EUR",1790
2024,Bendrosios pajamos per mėnesį,Šiaulių apskritis,"vienam namų ūkiui, EUR",1728
2024,Bendrosios pajamos per mėnesį,Tauragės apskritis,"vienam namų ūkiui, EUR",1588
2024,Bendrosios pajamos per mėnesį,Telšių apskritis,"vienam namų ūkiui, EUR",1614
2024,Bendrosios pajamos per mėnesį,Utenos apskritis,"vienam namų ūkiui, EUR",1795
