Laikotarpis,Rodiklis,Administracinė teritorija,Matavimo vienetai,Reikšmė
2024,Bendrosios pajamos per mėnesį,Vilniaus apskritis,"vienam namų ūkio nariui, EUR",1586
2024,Bendrosios pajamos per mėnesį,Alytaus apskritis,"vienam namų ūkio nariui, EUR",969
2024,Bendrosios pajamos per mėnesį,Kauno apskritis,"vienam namų ūkio nariui, EUR",1270
2024,Bendrosios pajamos per mėnesį,Klaipėdos apskritis,"vienam namų ūkio nariui, EUR",1264
2024,Bendrosios pajamos per mėnesį,Marijampolės apskritis,"vienam namų ūkio nariui, EUR",1028
2024,Bendrosios pajamos per mėnesį,Panevėžio apskritis,"vienam namų ūkio nariui, EUR",988
2024,Bendrosios pajamos per mėnesį,Šiaulių apskritis,"vienam namų ūkio nariui, EUR",869
2024,Bendrosios pajamos per mėnesį,Tauragės apskritis,"vienam namų ūkio nariui, EUR",820
2024,Bendrosios pajamos per mėnesį,Telšių apskritis,"vienam namų ūkio nariui, EUR",940
2024,Bendrosios pajamos per mėnesį,Utenos apskritis,"vienam namų ūkio nariui, EUR",963
