Laikotarpis,Rodiklis,Administracinė teritorija,Matavimo vienetai,Reikšmė
2024M12,Atleistų darbuotojų skaičius,Elektrėnų savivaldybė,asmenys,284
2024M12,Atleistų darbuotojų skaičius,Šalčininkų rajono savivaldybė,asmenys,128
2024M12,Atleistų darbuotojų skaičius,Širvintų rajono savivaldybė,asmenys,152
2024M12,Atleistų darbuotojų skaičius,Švenčionių rajono savivaldybė,asmenys,123
2024M12,Atleistų darbuotojų skaičius,Trakų rajono savivaldybė,asmenys,210
2024M12,Atleistų darbuotojų skaičius,Ukmergės rajono savivaldybė,asmenys,225
2024M12,Atleistų darbuotojų skaičius,Vilniaus miesto savivaldybė,asmenys,23771
2024M12,Atleistų darbuotojų skaičius,Vilniaus rajono savivaldybė,asmenys,977
2024M12,Atleistų darbuotojų skaičius,Alytaus miesto savivaldybė,asmenys,522
2024M12,Atleistų darbuotojų skaičius,Alytaus rajono savivaldybė,asmenys,135
2024M12,Atleistų darbuotojų skaičius,Druskininkų savivaldybė,asmenys,215
2024M12,Atleistų darbuotojų skaičius,Lazdijų rajono savivaldybė,asmenys,122
2024M12,Atleistų darbuotojų skaičius,Varėnos rajono savivaldybė,asmenys,135
2024M12,Atleistų darbuotojų skaičius,Birštono savivaldybė,asmenys,78
2024M12,Atleistų darbuotojų skaičius,Jonavos rajono savivaldybė,asmenys,295
2024M12,Atleistų darbuotojų skaičius,Kaišiadorių rajono savivaldybė,asmenys,216
2024M12,Atleistų darbuotojų skaičius,Kauno miesto savivaldybė,asmenys,5436
2024M12,Atleistų darbuotojų skaičius,Kauno rajono savivaldybė,asmenys,1286
2024M12,Atleistų darbuotojų skaičius,Kėdainių rajono savivaldybė,asmenys,444
2024M12,Atleistų darbuotojų skaičius,Prienų rajono savivaldybė,asmenys,161
2024M12,Atleistų darbuotojų skaičius,Raseinių rajono savivaldybė,asmenys,209
2024M12,Atleistų darbuotojų skaičius,Klaipėdos miesto savivaldybė,asmenys,3422
2024M12,Atleistų darbuotojų skaičius,Klaipėdos rajono savivaldybė,asmenys,762
2024M12,Atleistų darbuotojų skaičius,Kretingos rajono savivaldybė,asmenys,326
2024M12,Atleistų darbuotojų skaičius,Neringos savivaldybė,asmenys,77
2024M12,Atleistų darbuotojų skaičius,Palangos miesto savivaldybė,asmenys,293
2024M12,Atleistų darbuotojų skaičius,Skuodo rajono savivaldybė,asmenys,96
2024M12,Atleistų darbuotojų skaičius,Šilutės rajono savivaldybė,asmenys,298
2024M12,Atleistų darbuotojų skaičius,Kalvarijos savivaldybė,asmenys,54
2024M12,Atleistų darbuotojų skaičius,Kazlų Rūdos savivaldybė,asmenys,82
2024M12,Atleistų darbuotojų skaičius,Marijampolės savivaldybė,asmenys,646
2024M12,Atleistų darbuotojų skaičius,Marijampolės rajono savivaldybė,asmenys,646
2024M12,Atleistų darbuotojų skaičius,Šakių rajono savivaldybė,asmenys,138
2024M12,Atleistų darbuotojų skaičius,Vilkaviškio rajono savivaldybė,asmenys,145
2024M12,Atleistų darbuotojų skaičius,Biržų rajono savivaldybė,asmenys,117
2024M12,Atleistų darbuotojų skaičius,Kupiškio rajono savivaldybė,asmenys,104
2024M12,Atleistų darbuotojų skaičius,Panevėžio miesto savivaldybė,asmenys,1140
2024M12,Atleistų darbuotojų skaičius,Panevėžio rajono savivaldybė,asmenys,237
2024M12,Atleistų darbuotojų skaičius,Pasvalio rajono savivaldybė,asmenys,132
2024M12,Atleistų darbuotojų skaičius,Rokiškio rajono savivaldybė,asmenys,220
2024M12,Atleistų darbuotojų skaičius,Akmenės rajono savivaldybė,asmenys,146
2024M12,Atleistų darbuotojų skaičius,Joniškio rajono savivaldybė,asmenys,158
2024M12,Atleistų darbuotojų skaičius,Kelmės rajono savivaldybė,asmenys,143
2024M12,Atleistų darbuotojų skaičius,Pakruojo rajono savivaldybė,asmenys,140
2024M12,Atleistų darbuotojų skaičius,Radviliškio rajono savivaldybė,asmenys,211
2024M12,Atleistų darbuotojų skaičius,Šiaulių miesto savivaldybė,asmenys,1764
2024M12,Atleistų darbuotojų skaičius,Šiaulių rajono savivaldybė,asmenys,232
2024M12,Atleistų darbuotojų skaičius,Jurbarko rajono savivaldybė,asmenys,234
2024M12,Atleistų darbuotojų skaičius,Pagėgių savivaldybė,asmenys,41
2024M12,Atleistų darbuotojų skaičius,Šilalės rajono savivaldybė,asmenys,115
2024M12,Atleistų darbuotojų skaičius,Tauragės rajono savivaldybė,asmenys,352
2024M12,Atleistų darbuotojų skaičius,Mažeikių rajono savivaldybė,asmenys,462
2024M12,Atleistų darbuotojų skaičius,Plungės rajono savivaldybė,asmenys,420
2024M12,Atleistų darbuotojų skaičius,Rietavo savivaldybė,asmenys,39
2024M12,Atleistų darbuotojų skaičius,Telšių rajono savivaldybė,asmenys,419
2024M12,Atleistų darbuotojų skaičius,Anykščių rajono savivaldybė,asmenys,141
2024M12,Atleistų darbuotojų skaičius,Ignalinos rajono savivaldybė,asmenys,71
2024M12,Atleistų darbuotojų skaičius,Molėtų rajono savivaldybė,asmenys,113
2024M12,Atleistų darbuotojų skaičius,Utenos rajono savivaldybė,asmenys,302
2024M12,Atleistų darbuotojų skaičius,Visagino savivaldybė,asmenys,162
2024M12,Atleistų darbuotojų skaičius,Zarasų rajono savivaldybė,asmenys,106
