Laikotarpis,Rodiklis,Administracinė teritorija,Matavimo vienetai,Reikšmė
2024M12,Priimtų darbuotojų skaičius,Elektrėnų savivaldybė,asmenys,236
2024M12,Priimtų darbuotojų skaičius,Šalčininkų rajono savivaldybė,asmenys,105
2024M12,Priimtų darbuotojų skaičius,Širvintų rajono savivaldybė,asmenys,67
2024M12,Priimtų darbuotojų skaičius,Švenčionių rajono savivaldybė,asmenys,98
2024M12,Priimtų darbuotojų skaičius,Trakų rajono savivaldybė,asmenys,136
2024M12,Priimtų darbuotojų skaičius,Ukmergės rajono savivaldybė,asmenys,154
2024M12,Priimtų darbuotojų skaičius,Vilniaus miesto savivaldybė,asmenys,16640
2024M12,Priimtų darbuotojų skaičius,Vilniaus rajono savivaldybė,asmenys,725
2024M12,Priimtų darbuotojų skaičius,Alytaus miesto savivaldybė,asmenys,237
2024M12,Priimtų darbuotojų skaičius,Alytaus rajono savivaldybė,asmenys,64
2024M12,Priimtų darbuotojų skaičius,Druskininkų savivaldybė,asmenys,117
2024M12,Priimtų darbuotojų skaičius,Lazdijų rajono savivaldybė,asmenys,91
2024M12,Priimtų darbuotojų skaičius,Varėnos rajono savivaldybė,asmenys,85
2024M12,Priimtų darbuotojų skaičius,Birštono savivaldybė,asmenys,54
2024M12,Priimtų darbuotojų skaičius,Jonavos rajono savivaldybė,asmenys,191
2024M12,Priimtų darbuotojų skaičius,Kaišiadorių rajono savivaldybė,asmenys,124
2024M12,Priimtų darbuotojų skaičius,Kauno miesto savivaldybė,asmenys,3431
2024M12,Priimtų darbuotojų skaičius,Kauno rajono savivaldybė,asmenys,945
2024M12,Priimtų darbuotojų skaičius,Kėdainių rajono savivaldybė,asmenys,211
2024M12,Priimtų darbuotojų skaičius,Prienų rajono savivaldybė,asmenys,93
2024M12,Priimtų darbuotojų skaičius,Raseinių rajono savivaldybė,asmenys,122
2024M12,Priimtų darbuotojų skaičius,Klaipėdos miesto savivaldybė,asmenys,2197
2024M12,Priimtų darbuotojų skaičius,Klaipėdos rajono savivaldybė,asmenys,451
2024M12,Priimtų darbuotojų skaičius,Kretingos rajono savivaldybė,asmenys,260
2024M12,Priimtų darbuotojų skaičius,Neringos savivaldybė,asmenys,58
2024M12,Priimtų darbuotojų skaičius,Palangos miesto savivaldybė,asmenys,292
2024M12,Priimtų darbuotojų skaičius,Skuodo rajono savivaldybė,asmenys,61
2024M12,Priimtų darbuotojų skaičius,Šilutės rajono savivaldybė,asmenys,135
2024M12,Priimtų darbuotojų skaičius,Kalvarijos savivaldybė,asmenys,19
2024M12,Priimtų darbuotojų skaičius,Kazlų Rūdos savivaldybė,asmenys,49
2024M12,Priimtų darbuotojų skaičius,Marijampolės savivaldybė,asmenys,373
2024M12,Priimtų darbuotojų skaičius,Marijampolės rajono savivaldybė,asmenys,373
2024M12,Priimtų darbuotojų skaičius,Šakių rajono savivaldybė,asmenys,71
2024M12,Priimtų darbuotojų skaičius,Vilkaviškio rajono savivaldybė,asmenys,100
2024M12,Priimtų darbuotojų skaičius,Biržų rajono savivaldybė,asmenys,60
2024M12,Priimtų darbuotojų skaičius,Kupiškio rajono savivaldybė,asmenys,64
2024M12,Priimtų darbuotojų skaičius,Panevėžio miesto savivaldybė,asmenys,583
2024M12,Priimtų darbuotojų skaičius,Panevėžio rajono savivaldybė,asmenys,146
2024M12,Priimtų darbuotojų skaičius,Pasvalio rajono savivaldybė,asmenys,88
2024M12,Priimtų darbuotojų skaičius,Rokiškio rajono savivaldybė,asmenys,487
2024M12,Priimtų darbuotojų skaičius,Akmenės rajono savivaldybė,asmenys,79
2024M12,Priimtų darbuotojų skaičius,Joniškio rajono savivaldybė,asmenys,68
2024M12,Priimtų darbuotojų skaičius,Kelmės rajono savivaldybė,asmenys,68
2024M12,Priimtų darbuotojų skaičius,Pakruojo rajono savivaldybė,asmenys,54
2024M12,Priimtų darbuotojų skaičius,Radviliškio rajono savivaldybė,asmenys,143
2024M12,Priimtų darbuotojų skaičius,Šiaulių miesto savivaldybė,asmenys,1199
2024M12,Priimtų darbuotojų skaičius,Šiaulių rajono savivaldybė,asmenys,123
2024M12,Priimtų darbuotojų skaičius,Jurbarko rajono savivaldybė,asmenys,117
2024M12,Priimtų darbuotojų skaičius,Pagėgių savivaldybė,asmenys,27
2024M12,Priimtų darbuotojų skaičius,Šilalės rajono savivaldybė,asmenys,69
2024M12,Priimtų darbuotojų skaičius,Tauragės rajono savivaldybė,asmenys,190
2024M12,Priimtų darbuotojų skaičius,Mažeikių rajono savivaldybė,asmenys,261
2024M12,Priimtų darbuotojų skaičius,Plungės rajono savivaldybė,asmenys,187
2024M12,Priimtų darbuotojų skaičius,Rietavo savivaldybė,asmenys,26
2024M12,Priimtų darbuotojų skaičius,Telšių rajono savivaldybė,asmenys,188
2024M12,Priimtų darbuotojų skaičius,Anykščių rajono savivaldybė,asmenys,76
2024M12,Priimtų darbuotojų skaičius,Ignalinos rajono savivaldybė,asmenys,32
2024M12,Priimtų darbuotojų skaičius,Molėtų rajono savivaldybė,asmenys,49
2024M12,Priimtų darbuotojų skaičius,Utenos rajono savivaldybė,asmenys,213
2024M12,Priimtų darbuotojų skaičius,Visagino savivaldybė,asmenys,79
2024M12,Priimtų darbuotojų skaičius,Zarasų rajono savivaldybė,asmenys,57
