"Laikotarpis","Rodiklis","Apskritys","Matavimo vienetai","Reikšmė"
"2024","Asmenys, gyvenantys skurdo rizikoje ar socialinėje atskirtyje","Vilniaus apskritis","proc.","15.6"
"2024","Asmenys, gyvenantys skurdo rizikoje ar socialinėje atskirtyje","Alytaus apskritis","proc.","38.2"
"2024","Asmenys, gyvenantys skurdo rizikoje ar socialinėje atskirtyje","Kauno apskritis","proc.","24.7"
"2024","Asmenys, gyvenantys skurdo rizikoje ar socialinėje atskirtyje","Klaipėdos apskritis","proc.","24.1"
"2024","Asmenys, gyvenantys skurdo rizikoje ar socialinėje atskirtyje","Marijampolės apskritis","proc.","38.8"
"2024","Asmenys, gyvenantys skurdo rizikoje ar socialinėje atskirtyje","Panevėžio apskritis","proc.","31.9"
"2024","Asmenys, gyvenantys skurdo rizikoje ar socialinėje atskirtyje","Šiaulių apskritis","proc.","34.4"
"2024","Asmenys, gyvenantys skurdo rizikoje ar socialinėje atskirtyje","Tauragės apskritis","proc.","42.0"
"2024","Asmenys, gyvenantys skurdo rizikoje ar socialinėje atskirtyje","Telšių apskritis","proc.","31.4"
"2024","Asmenys, gyvenantys skurdo rizikoje ar socialinėje atskirtyje","Utenos apskritis","proc.","32.3"
