Laikotarpis,Rodiklis,Administracinė teritorija,Tipas,Lytis,Sektorius,Matavimo vienetai,Reikšmė
2023K4,Darbo užmokestis (mėnesinis),Elektrėnų savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1778.6
2023K4,Darbo užmokestis (mėnesinis),Šalčininkų rajono savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1575.4
2023K4,Darbo užmokestis (mėnesinis),Širvintų rajono savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1720.3
2023K4,Darbo užmokestis (mėnesinis),Švenčionių rajono savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1544.8
2023K4,Darbo užmokestis (mėnesinis),Trakų rajono savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1997.2
2023K4,Darbo užmokestis (mėnesinis),Ukmergės rajono savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1654.7
2023K4,Darbo užmokestis (mėnesinis),Vilniaus miesto savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,2393.4
2023K4,Darbo užmokestis (mėnesinis),Vilniaus rajono savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1873.7
2023K4,Darbo užmokestis (mėnesinis),Alytaus miesto savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1802.4
2023K4,Darbo užmokestis (mėnesinis),Alytaus rajono savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1721.5
2023K4,Darbo užmokestis (mėnesinis),Druskininkų savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1657.4
2023K4,Darbo užmokestis (mėnesinis),Lazdijų rajono savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1475.3
2023K4,Darbo užmokestis (mėnesinis),Varėnos rajono savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1608.7
2023K4,Darbo užmokestis (mėnesinis),Birštono savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1636.7
2023K4,Darbo užmokestis (mėnesinis),Jonavos rajono savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1867.4
2023K4,Darbo užmokestis (mėnesinis),Kaišiadorių rajono savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1654.5
2023K4,Darbo užmokestis (mėnesinis),Kauno miesto savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,2224.4
2023K4,Darbo užmokestis (mėnesinis),Kauno rajono savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,2019.1
2023K4,Darbo užmokestis (mėnesinis),Kėdainių rajono savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1888.5
2023K4,Darbo užmokestis (mėnesinis),Prienų rajono savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1650.7
2023K4,Darbo užmokestis (mėnesinis),Raseinių rajono savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1656
2023K4,Darbo užmokestis (mėnesinis),Klaipėdos miesto savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,2102.8
2023K4,Darbo užmokestis (mėnesinis),Klaipėdos rajono savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1805.9
2023K4,Darbo užmokestis (mėnesinis),Kretingos rajono savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1566.4
2023K4,Darbo užmokestis (mėnesinis),Neringos savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1749.5
2023K4,Darbo užmokestis (mėnesinis),Palangos miesto savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1688.4
2023K4,Darbo užmokestis (mėnesinis),Skuodo rajono savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1649.4
2023K4,Darbo užmokestis (mėnesinis),Šilutės rajono savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1634.4
2023K4,Darbo užmokestis (mėnesinis),Kalvarijos savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1640.9
2023K4,Darbo užmokestis (mėnesinis),Kazlų Rūdos savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1695.5
2023K4,Darbo užmokestis (mėnesinis),Marijampolės savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1768.3
2023K4,Darbo užmokestis (mėnesinis),Marijampolės rajono savivaldybė,Bruto,Vyrai ir moterys,Šalies ūkis su individualiosiomis įmonėmis,EUR,1768.3
