Laikotarpis,Rodiklis,Administracinė teritorija,Tipas,Lyginimas,Sektorius,Matavimo vienetai,Reikšmė
2024K4,Darbo užmokesčio indeksas (mėnesinis),Elektrėnų savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,114.5
2024K4,Darbo užmokesčio indeksas (mėnesinis),Šalčininkų rajono savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,114.4
2024K4,Darbo užmokesčio indeksas (mėnesinis),Širvintų rajono savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,111.4
2024K4,Darbo užmokesčio indeksas (mėnesinis),Švenčionių rajono savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,116.4
2024K4,Darbo užmokesčio indeksas (mėnesinis),Trakų rajono savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,111.2
2024K4,Darbo užmokesčio indeksas (mėnesinis),Ukmergės rajono savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,109.9
2024K4,Darbo užmokesčio indeksas (mėnesinis),Vilniaus miesto savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,110.1
2024K4,Darbo užmokesčio indeksas (mėnesinis),Vilniaus rajono savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,111.8
2024K4,Darbo užmokesčio indeksas (mėnesinis),Alytaus miesto savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,108.9
2024K4,Darbo užmokesčio indeksas (mėnesinis),Alytaus rajono savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,107.4
2024K4,Darbo užmokesčio indeksas (mėnesinis),Druskininkų savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,110.3
2024K4,Darbo užmokesčio indeksas (mėnesinis),Lazdijų rajono savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,112.3
2024K4,Darbo užmokesčio indeksas (mėnesinis),Varėnos rajono savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,108.7
2024K4,Darbo užmokesčio indeksas (mėnesinis),Birštono savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,106.6
2024K4,Darbo užmokesčio indeksas (mėnesinis),Jonavos rajono savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,111.8
2024K4,Darbo užmokesčio indeksas (mėnesinis),Kaišiadorių rajono savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,114.8
2024K4,Darbo užmokesčio indeksas (mėnesinis),Kauno miesto savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,111.1
2024K4,Darbo užmokesčio indeksas (mėnesinis),Kauno rajono savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,112.7
2024K4,Darbo užmokesčio indeksas (mėnesinis),Kėdainių rajono savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,114.2
2024K4,Darbo užmokesčio indeksas (mėnesinis),Prienų rajono savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,111.9
2024K4,Darbo užmokesčio indeksas (mėnesinis),Raseinių rajono savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,112.5
2024K4,Darbo užmokesčio indeksas (mėnesinis),Klaipėdos miesto savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,110.9
2024K4,Darbo užmokesčio indeksas (mėnesinis),Klaipėdos rajono savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,115.2
2024K4,Darbo užmokesčio indeksas (mėnesinis),Kretingos rajono savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,114.2
2024K4,Darbo užmokesčio indeksas (mėnesinis),Neringos savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,112.7
2024K4,Darbo užmokesčio indeksas (mėnesinis),Palangos miesto savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,114.4
2024K4,Darbo užmokesčio indeksas (mėnesinis),Skuodo rajono savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,106.8
2024K4,Darbo užmokesčio indeksas (mėnesinis),Šilutės rajono savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,111.6
2024K4,Darbo užmokesčio indeksas (mėnesinis),Kalvarijos savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,103.9
2024K4,Darbo užmokesčio indeksas (mėnesinis),Kazlų Rūdos savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,109.8
2024K4,Darbo užmokesčio indeksas (mėnesinis),Marijampolės savivaldybė,Bruto,palyginti su praėjusių metų atitinkamu ketvirčiu,Šalies ūkis su individualiosiomis įmonėmis,proc.,107.5
